DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT21,2015,1875680,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT21,2016,1944968,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT21,2017,2017038,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT21,2018,2035146,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT21,2019,2068147,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT21,2020,1418363,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT21,2021,1351081,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2012,2467450,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2013,2554887,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2014,2583211,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2015,2672125,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2016,2814675,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2017,2912044,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2018,2974536,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2019,3084306,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2020,1964165,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT22,2021,1868082,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2012,14840690,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2013,15135777,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2014,15296440,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2015,16028452,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2016,16738146,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2017,17401314,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2018,17960062,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2019,18246026,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2020,9907551,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT3,2021,8503407,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2012,1959335,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2013,1928318,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2014,1970992,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2015,2059604,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2016,2131665,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2017,2258526,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2018,2379848,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2019,2474402,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2020,1251159,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT31,2021,1311951,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2012,4456486,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2013,4572766,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2014,4614607,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2015,4800156,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2016,5078407,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2017,5357911,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2018,5543716,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2019,5676132,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2020,3062662,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT32,2021,2567533,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2012,6926392,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2013,7104462,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2014,7192856,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2015,7597984,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2016,7912063,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2017,8145811,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2018,8389584,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2019,8454015,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2020,4624622,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT33,2021,3815399,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2012,1498477,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2013,1530231,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2014,1517985,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2015,1570708,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2016,1616011,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2017,1639066,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2018,1646914,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2019,1641477,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2020,969108,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,AT34,2021,808524,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2012,9951300,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2013,10174877,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2014,10564354,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2015,10744195,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2016,9882398,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2017,10804404,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2018,11501411,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2019,11754279,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE,2020,4342383,
