DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-10,118.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-11,117.6,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-12,117.0,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-03,122.34,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-04,123.12,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-05,123.15,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-06,123.47,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-07,123.36,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-08,124.03,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-09,124.43,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-10,124.54,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-11,123.85,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA,2023-12,124.05,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-03,122.34,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-04,123.11,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-05,123.14,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-06,123.45,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-07,123.32,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-08,124.00,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-09,124.40,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-10,124.51,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-11,123.82,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA19,2023-12,124.02,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-03,122.35,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-04,123.13,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-05,123.17,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-06,123.48,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-07,123.37,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-08,124.04,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-09,124.44,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-10,124.55,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-11,123.86,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EA20,2023-12,124.06,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-03,147.20,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-04,150.04,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-05,150.08,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-06,151.30,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-07,150.56,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-08,151.25,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-09,151.17,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-10,150.45,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-11,150.48,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EE,2023-12,150.45,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-03,126.10,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,EEA,2023-04,126.89,
